Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,205,IntpDistance,205,
Trigger Address,4991,Trigger Address,4991,
Trigger Level,-4.400E-01,Trigger Level,-4.400E-01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label, ,Label, ,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,Vertical Scale,1.000E+00,
Vertical Position,1.640E+00,Vertical Position,-2.280E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-08,Horizontal Scale,1.000E-08,
Horizontal Position,1.630E-08,Horizontal Position,1.630E-08,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Sinc20,SincET Mode,Sinc20,
Sampling Period,2.000E-09,Sampling Period,2.000E-09,
Horizontal Old Scale,1.000E-08,Horizontal Old Scale,1.000E-08,
Horizontal Old Position,1.630E-08,Horizontal Old Position,1.630E-08,
Firmware,V1.29,Firmware,V1.29,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-9.569700e-06,-1.24e+00,-9.569700e-06,8.00e-02,
-9.567700e-06,8.00e-02,-9.567700e-06,1.08e+00,
-9.565700e-06,1.28e+00,-9.565700e-06,1.40e+00,
-9.563700e-06,7.20e-01,-9.563700e-06,5.20e-01,
-9.561700e-06,-8.80e-01,-9.561700e-06,-2.40e-01,
-9.559700e-06,-1.24e+00,-9.559700e-06,8.00e-02,
-9.557700e-06,8.00e-02,-9.557700e-06,1.08e+00,
-9.555700e-06,1.28e+00,-9.555700e-06,1.40e+00,
-9.553700e-06,7.20e-01,-9.553700e-06,5.20e-01,
-9.551700e-06,-8.40e-01,-9.551700e-06,-2.40e-01,
-9.549700e-06,-1.24e+00,-9.549700e-06,8.00e-02,
-9.547700e-06,8.00e-02,-9.547700e-06,1.08e+00,
-9.545700e-06,1.28e+00,-9.545700e-06,1.40e+00,
-9.543700e-06,7.20e-01,-9.543700e-06,5.20e-01,
-9.541700e-06,-8.80e-01,-9.541700e-06,-2.40e-01,
-9.539700e-06,-1.24e+00,-9.539700e-06,8.00e-02,
-9.537700e-06,8.00e-02,-9.537700e-06,1.08e+00,
-9.535700e-06,1.28e+00,-9.535700e-06,1.40e+00,
-9.533700e-06,7.20e-01,-9.533700e-06,5.20e-01,
-9.531700e-06,-8.80e-01,-9.531700e-06,-2.40e-01,
-9.529700e-06,-1.24e+00,-9.529700e-06,8.00e-02,
-9.527700e-06,8.00e-02,-9.527700e-06,1.08e+00,
-9.525700e-06,1.28e+00,-9.525700e-06,1.40e+00,
-9.523700e-06,7.20e-01,-9.523700e-06,5.20e-01,
-9.521700e-06,-8.80e-01,-9.521700e-06,-2.40e-01,
-9.519700e-06,-1.24e+00,-9.519700e-06,8.00e-02,
-9.517700e-06,8.00e-02,-9.517700e-06,1.08e+00,
-9.515700e-06,1.28e+00,-9.515700e-06,1.40e+00,
-9.513700e-06,7.20e-01,-9.513700e-06,5.20e-01,
-9.511700e-06,-8.80e-01,-9.511700e-06,-2.40e-01,
-9.509700e-06,-1.24e+00,-9.509700e-06,8.00e-02,
-9.507700e-06,8.00e-02,-9.507700e-06,1.08e+00,
-9.505700e-06,1.28e+00,-9.505700e-06,1.40e+00,
-9.503700e-06,7.20e-01,-9.503700e-06,5.20e-01,
-9.501700e-06,-8.80e-01,-9.501700e-06,-2.40e-01,
-9.499700e-06,-1.24e+00,-9.499700e-06,8.00e-02,
-9.497700e-06,8.00e-02,-9.497700e-06,1.08e+00,
-9.495700e-06,1.28e+00,-9.495700e-06,1.40e+00,
-9.493700e-06,7.20e-01,-9.493700e-06,5.20e-01,
-9.491700e-06,-8.80e-01,-9.491700e-06,-2.40e-01,
-9.489700e-06,-1.24e+00,-9.489700e-06,8.00e-02,
-9.487700e-06,8.00e-02,-9.487700e-06,1.08e+00,
-9.485700e-06,1.28e+00,-9.485700e-06,1.40e+00,
-9.483700e-06,7.20e-01,-9.483700e-06,5.20e-01,
-9.481700e-06,-8.80e-01,-9.481700e-06,-2.40e-01,
-9.479700e-06,-1.24e+00,-9.479700e-06,8.00e-02,
-9.477700e-06,8.00e-02,-9.477700e-06,1.08e+00,
-9.475700e-06,1.28e+00,-9.475700e-06,1.40e+00,
-9.473700e-06,7.20e-01,-9.473700e-06,5.20e-01,
-9.471700e-06,-8.80e-01,-9.471700e-06,-2.40e-01,
-9.469700e-06,-1.24e+00,-9.469700e-06,8.00e-02,
-9.467700e-06,8.00e-02,-9.467700e-06,1.08e+00,
-9.465700e-06,1.28e+00,-9.465700e-06,1.40e+00,
-9.463700e-06,7.20e-01,-9.463700e-06,5.20e-01,
-9.461700e-06,-8.80e-01,-9.461700e-06,-2.40e-01,
-9.459700e-06,-1.24e+00,-9.459700e-06,8.00e-02,
-9.457700e-06,8.00e-02,-9.457700e-06,1.08e+00,
-9.455700e-06,1.28e+00,-9.455700e-06,1.40e+00,
-9.453700e-06,7.20e-01,-9.453700e-06,5.20e-01,
-9.451700e-06,-8.80e-01,-9.451700e-06,-2.40e-01,
-9.449700e-06,-1.24e+00,-9.449700e-06,8.00e-02,
-9.447700e-06,8.00e-02,-9.447700e-06,1.08e+00,
-9.445700e-06,1.28e+00,-9.445700e-06,1.40e+00,
-9.443700e-06,7.20e-01,-9.443700e-06,5.20e-01,
