"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19"
28.600,0.61,-0.05,0.59,28.600,0.61,-0.02,0.62,28.600,0.61,0.06,0.37,28.600,0.61,-0.01,0.56,28.600,0.63,-0.08,-0.20,28.600,0.64,-0.06,-0.58,28.600,0.63,-0.09,-0.19,28.600,0.63,0.07,-0.19,28.600,0.61,0.07,0.27,28.600,0.63,0.00,-0.54,28.600,0.61,0.01,0.50,28.600,0.62,0.09,-0.08,28.600,0.61,0.01,0.64,28.600,0.63,-0.07,-0.44,28.600,0.63,0.08,-0.40,28.600,0.61,0.04,0.47,28.600,0.61,0.01,0.64,28.600,0.64,0.02,-0.70,28.600,0.62,0.09,0.25
28.640,0.61,-0.02,0.65,28.640,0.61,0.00,0.64,28.640,0.62,0.07,0.24,28.640,0.61,0.01,0.56,28.640,0.62,-0.08,-0.05,28.640,0.63,-0.08,-0.32,28.640,0.62,-0.09,0.05,28.640,0.63,0.07,-0.24,28.640,0.62,0.08,0.13,28.640,0.63,-0.02,-0.54,28.640,0.61,0.03,0.44,28.640,0.63,0.09,-0.22,28.640,0.61,0.03,0.60,28.640,0.63,-0.08,-0.30,28.640,0.64,0.06,-0.71,28.640,0.61,0.06,0.38,28.640,0.61,0.04,0.59,28.640,0.64,-0.01,-0.78,28.640,0.62,0.09,0.09
28.680,0.61,0.01,0.67,28.680,0.61,0.03,0.62,28.680,0.62,0.08,0.11,28.680,0.61,0.03,0.52,28.680,0.62,-0.08,0.09,28.680,0.63,-0.08,-0.13,28.680,0.62,-0.08,0.27,28.680,0.63,0.06,-0.31,28.680,0.62,0.09,0.00,28.680,0.63,-0.04,-0.48,28.680,0.61,0.05,0.36,28.680,0.63,0.07,-0.28,28.680,0.61,0.05,0.52,28.680,0.62,-0.09,-0.13,28.680,0.64,0.02,-0.90,28.680,0.62,0.07,0.26,28.680,0.61,0.06,0.49,28.680,0.64,-0.05,-0.76,28.680,0.62,0.09,-0.10
28.720,0.61,0.03,0.67,28.720,0.61,0.05,0.55,28.720,0.62,0.08,-0.03,28.720,0.61,0.05,0.44,28.720,0.62,-0.08,0.23,28.720,0.63,-0.08,-0.06,28.720,0.61,-0.07,0.42,28.720,0.63,0.04,-0.43,28.720,0.63,0.08,-0.10,28.720,0.63,-0.06,-0.36,28.720,0.62,0.06,0.26,28.720,0.63,0.06,-0.29,28.720,0.61,0.07,0.39,28.720,0.62,-0.09,0.03,28.720,0.64,-0.03,-0.82,28.720,0.62,0.08,0.12,28.720,0.61,0.08,0.37,28.720,0.63,-0.08,-0.58,28.720,0.63,0.08,-0.27
28.760,0.61,0.06,0.64,28.760,0.61,0.07,0.43,28.760,0.63,0.08,-0.17,28.760,0.61,0.07,0.33,28.760,0.61,-0.06,0.36,28.760,0.62,-0.09,-0.05,28.760,0.61,-0.05,0.48,28.760,0.63,0.02,-0.53,28.760,0.63,0.08,-0.21,28.760,0.63,-0.07,-0.23,28.760,0.62,0.07,0.15,28.760,0.63,0.05,-0.37,28.760,0.62,0.09,0.16,28.760,0.62,-0.09,0.20,28.760,0.64,-0.05,-0.56,28.760,0.62,0.08,-0.03,28.760,0.62,0.09,0.23,28.760,0.63,-0.09,-0.36,28.760,0.63,0.07,-0.41
28.800,0.61,0.09,0.51,28.800,0.61,0.09,0.27,28.800,0.63,0.07,-0.31,28.800,0.62,0.08,0.19,28.800,0.61,-0.05,0.48,28.800,0.62,-0.09,0.03,28.800,0.61,-0.02,0.45,28.800,0.63,0.00,-0.58,28.800,0.63,0.07,-0.38,28.800,0.62,-0.08,-0.13,28.800,0.62,0.07,0.03,28.800,0.64,0.04,-0.54,28.800,0.62,0.09,-0.11,28.800,0.61,-0.08,0.34,28.800,0.63,-0.07,-0.33,28.800,0.63,0.08,-0.17,28.800,0.62,0.10,0.07,28.800,0.63,-0.10,-0.16,28.800,0.63,0.05,-0.51
28.840,0.62,0.11,0.27,28.840,0.62,0.10,0.11,28.840,0.63,0.05,-0.43,28.840,0.62,0.09,0.05,28.840,0.61,-0.02,0.58,28.840,0.61,-0.09,0.24,28.840,0.61,-0.01,0.41,28.840,0.63,-0.03,-0.56,28.840,0.63,0.05,-0.53,28.840,0.62,-0.08,-0.02,28.840,0.62,0.07,-0.09,28.840,0.64,0.01,-0.70,28.840,0.63,0.08,-0.29,28.840,0.61,-0.06,0.50,28.840,0.63,-0.07,-0.22,28.840,0.63,0.07,-0.30,28.840,0.62,0.10,-0.10,28.840,0.62,-0.11,0.00,28.840,0.63,0.03,-0.58
28.880,0.62,0.11,0.02,28.880,0.62,0.10,-0.06,28.880,0.63,0.03,-0.52,28.880,0.62,0.09,-0.11,28.880,0.61,0.00,0.60,28.880,0.61,-0.07,0.52,28.880,0.61,0.00,0.45,28.880,0.63,-0.05,-0.48,28.880,0.64,0.02,-0.58,28.880,0.62,-0.08,0.18,28.880,0.63,0.07,-0.22,28.880,0.64,-0.02,-0.72,28.880,0.63,0.06,-0.34,28.880,0.61,-0.04,0.63,28.880,0.63,-0.08,-0.15,28.880,0.63,0.05,-0.40,28.880,0.63,0.09,-0.27,28.880,0.62,-0.10,0.16,28.880,0.64,0.00,-0.60
28.920,0.62,0.10,-0.20,28.920,0.63,0.09,-0.22,28.920,0.63,0.01,-0.55,28.920,0.63,0.08,-0.26,28.920,0.61,0.03,0.53,28.920,0.61,-0.04,0.72,28.920,0.61,0.02,0.55,28.920,0.63,-0.07,-0.37,28.920,0.64,-4.41E-4,-0.58,28.920,0.61,-0.07,0.38,28.920,0.63,0.05,-0.33,28.920,0.63,-0.05,-0.63,28.920,0.63,0.05,-0.33,28.920,0.61,-0.01,0.67,28.920,0.62,-0.09,-0.05,28.920,0.63,0.03,-0.45,28.920,0.63,0.07,-0.42,28.920,0.61,-0.09,0.34,28.920,0.64,-0.02,-0.56
28.960,0.63,0.09,-0.38,28.960,0.63,0.08,-0.38,28.960,0.63,-0.01,-0.53,28.960,0.63,0.06,-0.39,28.960,0.61,0.05,0.42,28.960,0.61,-0.01,0.77,28.960,0.61,0.05,0.57,28.960,0.63,-0.08,-0.25,28.960,0.63,-0.02,-0.61,28.960,0.61,-0.05,0.48,28.960,0.63,0.04,-0.42,28.960,0.63,-0.08,-0.47,28.960,0.63,0.04,-0.37,28.960,0.61,0.02,0.58,28.960,0.62,-0.09,0.10,28.960,0.63,0.01,-0.46,28.960,0.63,0.05,-0.55,28.960,0.61,-0.07,0.49,28.960,0.63,-0.04,-0.49
29.000,0.63,0.08,-0.54,29.000,0.63,0.06,-0.50,29.000,0.63,-0.03,-0.48,29.000,0.63,0.05,-0.48,29.000,0.61,0.06,0.32,29.000,0.61,0.02,0.66,29.000,0.61,0.08,0.43,29.000,0.62,-0.09,-0.11,29.000,0.64,-0.05,-0.60,29.000,0.61,-0.03,0.47,29.000,0.63,0.02,-0.47,29.000,0.63,-0.09,-0.28,29.000,0.63,0.02,-0.45,29.000,0.61,0.04,0.42,29.000,0.62,-0.08,0.25,29.000,0.63,0.00,-0.47,29.000,0.64,0.03,-0.61,29.000,0.61,-0.05,0.59,29.000,0.63,-0.06,-0.40
29.040,0.64,0.05,-0.63,29.040,0.63,0.04,-0.59,29.040,0.63,-0.05,-0.41,29.040,0.63,0.02,-0.55,29.040,0.62,0.07,0.24,29.040,0.61,0.05,0.48,29.040,0.62,0.09,0.20,29.040,0.62,-0.09,0.04,29.040,0.63,-0.08,-0.42,29.040,0.61,-0.01,0.46,29.040,0.63,-5.45E-4,-0.50,29.040,0.62,-0.10,-0.09,29.040,0.63,-4.45E-4,-0.50,29.040,0.61,0.05,0.34,29.040,0.61,-0.07,0.38,29.040,0.63,-0.02,-0.50,29.040,0.64,0.00,-0.63,29.040,0.61,-0.03,0.64,29.040,0.63,-0.08,-0.30
29.080,0.64,0.02,-0.63,29.080,0.64,0.01,-0.64,29.080,0.63,-0.07,-0.32,29.080,0.63,3.71E-4,-0.57,29.080,0.62,0.08,0.12,29.080,0.61,0.06,0.34,29.080,0.62,0.09,-0.03,29.080,0.62,-0.08,0.20,29.080,0.63,-0.09,-0.16,29.080,0.61,0.01,0.46,29.080,0.63,-0.02,-0.53,29.080,0.62,-0.10,0.10,29.080,0.63,-0.02,-0.50,29.080,0.61,0.06,0.32,29.080,0.61,-0.05,0.48,29.080,0.63,-0.04,-0.49,29.080,0.64,-0.02,-0.60,29.080,0.61,2.31E-4,0.67,29.080,0.63,-0.09,-0.19
29.120,0.64,0.00,-0.58,29.120,0.64,-0.01,-0.66,29.120,0.63,-0.08,-0.19,29.120,0.63,-0.02,-0.55,29.120,0.62,0.08,-0.06,29.120,0.61,0.07,0.29,29.120,0.63,0.09,-0.19,29.120,0.61,-0.07,0.38,29.120,0.62,-0.08,0.01,29.120,0.61,0.03,0.41,29.120,0.63,-0.04,-0.51,29.120,0.62,-0.09,0.25,29.120,0.63,-0.04,-0.44,29.120,0.62,0.08,0.28,29.120,0.61,-0.03,0.55,29.120,0.63,-0.06,-0.39,29.120,0.63,-0.05,-0.54,29.120,0.61,0.03,0.65,29.120,0.62,-0.09,-0.05
29.160,0.64,-0.02,-0.54,29.160,0.63,-0.04,-0.61,29.160,0.62,-0.08,-0.05,29.160,0.63,-0.05,-0.49,29.160,0.63,0.08,-0.24,29.160,0.62,0.08,0.28,29.160,0.63,0.07,-0.31,29.160,0.61,-0.05,0.54,29.160,0.62,-0.08,0.07,29.160,0.61,0.04,0.35,29.160,0.63,-0.06,-0.40,29.160,0.61,-0.08,0.38,29.160,0.63,-0.06,-0.32,29.160,0.62,0.09,0.15,29.160,0.61,0.00,0.58,29.160,0.63,-0.08,-0.21,29.160,0.63,-0.07,-0.47,29.160,0.61,0.05,0.59,29.160,0.62,-0.09,0.10
29.200,0.63,-0.05,-0.51,29.200,0.63,-0.07,-0.49,29.200,0.62,-0.08,0.10,29.200,0.63,-0.06,-0.38,29.200,0.63,0.06,-0.35,29.200,0.62,0.10,0.18,29.200,0.63,0.06,-0.41,29.200,0.61,-0.03,0.63,29.200,0.62,-0.08,0.14,29.200,0.62,0.05,0.33,29.200,0.63,-0.08,-0.19,29.200,0.61,-0.06,0.50,29.200,0.63,-0.07,-0.18,29.200,0.63,0.09,-0.06,29.200,0.61,0.02,0.57,29.200,0.62,-0.08,-0.01,29.200,0.63,-0.08,-0.35,29.200,0.61,0.08,0.48,29.200,0.61,-0.08,0.30
29.240,0.63,-0.07,-0.44,29.240,0.63,-0.08,-0.34,29.240,0.62,-0.07,0.25,29.240,0.63,-0.08,-0.25,29.240,0.63,0.04,-0.38,29.240,0.62,0.10,-0.06,29.240,0.63,0.04,-0.50,29.240,0.61,0.00,0.60,29.240,0.61,-0.08,0.30,29.240,0.62,0.07,0.29,29.240,0.62,-0.08,0.01,29.240,0.61,-0.04,0.58,29.240,0.62,-0.07,-0.06,29.240,0.63,0.09,-0.27,29.240,0.61,0.04,0.51,29.240,0.62,-0.08,0.12,29.240,0.62,-0.10,-0.18,29.240,0.61,0.09,0.32,29.240,0.61,-0.07,0.51
29.280,0.63,-0.08,-0.32,29.280,0.63,-0.09,-0.18,29.280,0.61,-0.06,0.38,29.280,0.62,-0.08,-0.10,29.280,0.63,0.03,-0.39,29.280,0.63,0.09,-0.36,29.280,0.64,0.02,-0.56,29.280,0.61,0.03,0.49,29.280,0.61,-0.06,0.51,29.280,0.62,0.08,0.12,29.280,0.62,-0.07,0.15,29.280,0.61,-0.01,0.63,29.280,0.62,-0.07,0.01,29.280,0.63,0.07,-0.46,29.280,0.61,0.06,0.41,29.280,0.62,-0.07,0.20,29.280,0.62,-0.10,0.01,29.280,0.62,0.10,0.13,29.280,0.61,-0.04,0.64
29.320,0.63,-0.09,-0.17,29.320,0.62,-0.10,-0.02,29.320,0.61,-0.04,0.47,29.320,0.62,-0.08,0.04,29.320,0.63,0.02,-0.44,29.320,0.63,0.07,-0.55,29.320,0.64,0.00,-0.59,29.320,0.61,0.04,0.41,29.320,0.61,-0.03,0.64,29.320,0.62,0.08,-0.13,29.320,0.62,-0.07,0.26,29.320,0.61,0.01,0.63,29.320,0.62,-0.07,0.10,29.320,0.63,0.05,-0.60,29.320,0.61,0.08,0.29,29.320,0.61,-0.06,0.27,29.320,0.62,-0.10,0.20,29.320,0.62,0.10,-0.05,29.320,0.61,-0.01,0.67
29.360,0.62,-0.10,0.00,29.360,0.62,-0.09,0.16,29.360,0.61,-0.02,0.52,29.360,0.62,-0.08,0.19,29.360,0.63,0.00,-0.50,29.360,0.63,0.04,-0.60,29.360,0.64,-0.03,-0.58,29.360,0.61,0.05,0.36,29.360,0.61,0.00,0.64,29.360,0.63,0.07,-0.31,29.360,0.61,-0.06,0.38,29.360,0.61,0.04,0.59,29.360,0.62,-0.07,0.24,29.360,0.64,0.02,-0.66,29.360,0.62,0.09,0.15,29.360,0.61,-0.05,0.38,29.360,0.61,-0.08,0.38,29.360,0.63,0.10,-0.23,29.360,0.61,0.01,0.62
29.400,0.62,-0.09,0.16,29.400,0.61,-0.08,0.32,29.400,0.61,4.80E-4,0.53,29.400,0.61,-0.07,0.32,29.400,0.63,-0.03,-0.50,29.400,0.64,0.02,-0.53,29.400,0.63,-0.05,-0.51,29.400,0.62,0.07,0.30,29.400,0.61,0.02,0.57,29.400,0.63,0.05,-0.36,29.400,0.61,-0.04,0.46,29.400,0.61,0.06,0.51,29.400,0.61,-0.05,0.43,29.400,0.64,-0.01,-0.61,29.400,0.62,0.09,-0.01,29.400,0.61,-0.03,0.50,29.400,0.61,-0.06,0.51,29.400,0.63,0.08,-0.39,29.400,0.61,0.04,0.59
29.440,0.61,-0.08,0.33,29.440,0.61,-0.07,0.45,29.440,0.61,0.02,0.51,29.440,0.61,-0.05,0.43,29.440,0.63,-0.05,-0.44,29.440,0.64,0.00,-0.45,29.440,0.63,-0.07,-0.35,29.440,0.62,0.08,0.20,29.440,0.61,0.04,0.48,29.440,0.63,0.04,-0.39,29.440,0.61,-0.01,0.45,29.440,0.61,0.08,0.38,29.440,0.61,-0.03,0.58,29.440,0.64,-0.03,-0.53,29.440,0.63,0.08,-0.17,29.440,0.61,-0.01,0.56,29.440,0.61,-0.04,0.59,29.440,0.63,0.07,-0.54,29.440,0.61,0.06,0.54
29.480,0.61,-0.07,0.48,29.480,0.61,-0.05,0.54,29.480,0.61,0.04,0.46,29.480,0.61,-0.03,0.51,29.480,0.63,-0.06,-0.33,29.480,0.64,-0.01,-0.46,29.480,0.63,-0.08,-0.14,29.480,0.62,0.09,0.04,29.480,0.61,0.06,0.38,29.480,0.63,0.03,-0.47,29.480,0.61,0.00,0.37,29.480,0.62,0.10,0.21,29.480,0.61,0.00,0.58,29.480,0.63,-0.05,-0.45,29.480,0.63,0.07,-0.30,29.480,0.61,0.02,0.54,29.480,0.61,-0.02,0.62,29.480,0.64,0.04,-0.64,29.480,0.61,0.08,0.40
29.520,0.61,-0.04,0.58,29.520,0.61,-0.02,0.61,29.520,0.61,0.06,0.37,29.520,0.61,-0.01,0.55,29.520,0.63,-0.07,-0.21,29.520,0.63,-0.03,-0.53,29.520,0.62,-0.08,0.08,29.520,0.63,0.08,-0.12,29.520,0.62,0.07,0.25,29.520,0.63,0.00,-0.53,29.520,0.61,0.01,0.33,29.520,0.62,0.10,0.00,29.520,0.61,0.02,0.44,29.520,0.63,-0.07,-0.38,29.520,0.63,0.06,-0.40,29.520,0.61,0.04,0.47,29.520,0.61,0.01,0.63,29.520,0.64,0.01,-0.68,29.520,0.62,0.10,0.13
29.560,0.61,-0.02,0.62,29.560,0.61,0.00,0.63,29.560,0.62,0.07,0.24,29.560,0.61,0.01,0.55,29.560,0.62,-0.08,-0.08,29.560,0.63,-0.06,-0.57,29.560,0.62,-0.07,0.20,29.560,0.63,0.08,-0.29,29.560,0.62,0.08,0.11,29.560,0.63,-0.02,-0.52,29.560,0.61,0.02,0.36,29.560,0.63,0.09,-0.18,29.560,0.61,0.03,0.31,29.560,0.63,-0.08,-0.27,29.560,0.63,0.04,-0.48,29.560,0.61,0.06,0.37,29.560,0.61,0.03,0.61,29.560,0.64,-0.02,-0.66,29.560,0.62,0.09,-0.16
29.600,0.61,0.01,0.63,29.600,0.61,0.03,0.60,29.600,0.62,0.08,0.10,29.600,0.61,0.03,0.50,29.600,0.62,-0.08,0.07,29.600,0.63,-0.08,-0.44,29.600,0.62,-0.06,0.21,29.600,0.63,0.06,-0.47,29.600,0.62,0.08,-0.03,29.600,0.63,-0.04,-0.45,29.600,0.61,0.04,0.36,29.600,0.63,0.08,-0.31,29.600,0.61,0.04,0.32,29.600,0.62,-0.09,-0.13,29.600,0.63,0.02,-0.50,29.600,0.62,0.07,0.25,29.600,0.61,0.06,0.55,29.600,0.64,-0.04,-0.60,29.600,0.62,0.08,-0.26
29.640,0.61,0.03,0.60,29.640,0.61,0.05,0.52,29.640,0.62,0.08,-0.05,29.640,0.61,0.05,0.43,29.640,0.62,-0.08,0.24,29.640,0.63,-0.10,-0.20,29.640,0.62,-0.06,0.19,29.640,0.63,0.04,-0.60,29.640,0.63,0.08,-0.17,29.640,0.63,-0.06,-0.36,29.640,0.62,0.06,0.28,29.640,0.63,0.07,-0.43,29.640,0.62,0.05,0.36,29.640,0.62,-0.09,0.03,29.640,0.64,0.00,-0.46,29.640,0.62,0.08,0.12,29.640,0.61,0.08,0.41,29.640,0.63,-0.06,-0.51,29.640,0.63,0.07,-0.25
29.680,0.61,0.06,0.52,29.680,0.61,0.07,0.42,29.680,0.63,0.08,-0.19,29.680,0.61,0.07,0.32,29.680,0.61,-0.06,0.38,29.680,0.62,-0.10,0.08,29.680,0.61,-0.05,0.26,29.680,0.64,0.01,-0.63,29.680,0.63,0.07,-0.31,29.680,0.63,-0.07,-0.26,29.680,0.62,0.07,0.14,29.680,0.63,0.05,-0.56,29.680,0.62,0.07,0.29,29.680,0.62,-0.09,0.19,29.680,0.63,-0.02,-0.46,29.680,0.62,0.08,-0.02,29.680,0.62,0.09,0.23,29.680,0.63,-0.08,-0.39,29.680,0.63,0.06,-0.29
29.720,0.61,0.07,0.41,29.720,0.61,0.09,0.28,29.720,0.63,0.07,-0.29,29.720,0.62,0.08,0.19,29.720,0.61,-0.04,0.47,29.720,0.62,-0.09,0.33,29.720,0.61,-0.04,0.44,29.720,0.63,-0.01,-0.54,29.720,0.63,0.05,-0.42,29.720,0.62,-0.08,-0.14,29.720,0.62,0.07,0.00,29.720,0.64,0.03,-0.68,29.720,0.62,0.08,0.10,29.720,0.61,-0.07,0.34,29.720,0.63,-0.03,-0.56,29.720,0.63,0.07,-0.15,29.720,0.62,0.10,0.03,29.720,0.63,-0.10,-0.24,29.720,0.63,0.05,-0.42
29.760,0.62,0.09,0.26,29.760,0.62,0.09,0.11,29.760,0.63,0.05,-0.37,29.760,0.62,0.08,0.04,29.760,0.61,-0.02,0.51,29.760,0.61,-0.07,0.47,29.760,0.61,-0.02,0.60,29.760,0.63,-0.03,-0.45,29.760,0.63,0.03,-0.47,29.760,0.62,-0.08,0.03,29.760,0.62,0.07,-0.12,29.760,0.64,-0.01,-0.73,29.760,0.62,0.08,-0.11,29.760,0.61,-0.06,0.46,29.760,0.63,-0.06,-0.62,29.760,0.63,0.07,-0.28,29.760,0.62,0.10,-0.14,29.760,0.62,-0.10,-0.06,29.760,0.63,0.03,-0.55
29.800,0.62,0.10,0.12,29.800,0.62,0.09,-0.06,29.800,0.63,0.04,-0.45,29.800,0.62,0.08,-0.11,29.800,0.61,0.00,0.52,29.800,0.61,-0.05,0.47,29.800,0.61,0.02,0.63,29.800,0.63,-0.05,-0.39,29.800,0.63,0.01,-0.45,29.800,0.62,-0.08,0.23,29.800,0.63,0.06,-0.21,29.800,0.64,-0.04,-0.63,29.800,0.63,0.07,-0.25,29.800,0.61,-0.04,0.55,29.800,0.63,-0.09,-0.46,29.800,0.63,0.05,-0.40,29.800,0.63,0.09,-0.31,29.800,0.62,-0.10,0.13,29.800,0.64,0.00,-0.59
29.840,0.62,0.10,-0.01,29.840,0.63,0.09,-0.23,29.840,0.63,0.02,-0.55,29.840,0.63,0.07,-0.25,29.840,0.61,0.02,0.51,29.840,0.61,-0.03,0.43,29.840,0.61,0.04,0.53,29.840,0.63,-0.06,-0.35,29.840,0.63,0.00,-0.43,29.840,0.61,-0.06,0.37,29.840,0.63,0.05,-0.30,29.840,0.63,-0.06,-0.41,29.840,0.63,0.06,-0.34,29.840,0.61,-0.01,0.61,29.840,0.62,-0.11,-0.09,29.840,0.63,0.03,-0.48,29.840,0.63,0.07,-0.45,29.840,0.61,-0.09,0.33,29.840,0.63,-0.02,-0.57
29.880,0.63,0.09,-0.14,29.880,0.63,0.08,-0.37,29.880,0.63,-0.01,-0.61,29.880,0.63,0.06,-0.37,29.880,0.61,0.04,0.46,29.880,0.61,-0.02,0.47,29.880,0.61,0.06,0.34,29.880,0.63,-0.08,-0.25,29.880,0.63,-0.02,-0.46,29.880,0.61,-0.04,0.44,29.880,0.63,0.04,-0.38,29.880,0.63,-0.07,-0.21,29.880,0.63,0.04,-0.41,29.880,0.61,0.01,0.61,29.880,0.62,-0.10,0.22,29.880,0.63,0.01,-0.51,29.880,0.63,0.05,-0.55,29.880,0.61,-0.07,0.49,29.880,0.63,-0.04,-0.52
29.920,0.63,0.09,-0.33,29.920,0.63,0.06,-0.49,29.920,0.63,-0.04,-0.54,29.920,0.63,0.04,-0.47,29.920,0.61,0.06,0.40,29.920,0.61,9.11E-4,0.58,29.920,0.62,0.07,0.16,29.920,0.62,-0.09,-0.09,29.920,0.63,-0.04,-0.49,29.920,0.61,-0.03,0.48,29.920,0.63,0.02,-0.44,29.920,0.63,-0.07,-0.14,29.920,0.63,0.03,-0.49,29.920,0.61,0.04,0.57,29.920,0.62,-0.08,0.37,29.920,0.63,-0.01,-0.51,29.920,0.64,0.03,-0.60,29.920,0.61,-0.05,0.60,29.920,0.63,-0.06,-0.42
29.960,0.63,0.07,-0.59,29.960,0.63,0.04,-0.57,29.960,0.63,-0.06,-0.41,29.960,0.63,0.02,-0.54,29.960,0.62,0.07,0.32,29.960,0.61,0.03,0.61,29.960,0.62,0.07,0.11,29.960,0.62,-0.09,0.07,29.960,0.63,-0.06,-0.43,29.960,0.61,-0.01,0.53,29.960,0.63,0.00,-0.42,29.960,0.63,-0.08,-0.15,29.960,0.64,0.00,-0.59,29.960,0.61,0.06,0.48,29.960,0.61,-0.07,0.42,29.960,0.63,-0.03,-0.47,29.960,0.64,0.00,-0.62,29.960,0.61,-0.03,0.64,29.960,0.63,-0.08,-0.29
30.000,0.64,0.04,-0.80,30.000,0.64,0.01,-0.62,30.000,0.63,-0.07,-0.27,30.000,0.63,-3.79E-4,-0.56,30.000,0.62,0.08,0.18,30.000,0.61,0.06,0.56,30.000,0.62,0.07,0.14,30.000,0.62,-0.08,0.21,30.000,0.63,-0.08,-0.26,30.000,0.61,0.02,0.53,30.000,0.63,-0.02,-0.34,30.000,0.62,-0.09,-0.09,30.000,0.63,-0.02,-0.63,30.000,0.61,0.08,0.34,30.000,0.61,-0.05,0.47,30.000,0.63,-0.05,-0.37,30.000,0.64,-0.02,-0.60,30.000,0.61,9.79E-4,0.65,30.000,0.62,-0.09,-0.13
30.040,0.64,5.64E-5,-0.84,30.040,0.64,-0.01,-0.63,30.040,0.63,-0.08,-0.14,30.040,0.63,-0.02,-0.53,30.040,0.62,0.09,-0.02,30.040,0.61,0.07,0.44,30.040,0.62,0.08,0.06,30.040,0.61,-0.07,0.34,30.040,0.62,-0.08,-0.06,30.040,0.61,0.04,0.44,30.040,0.63,-0.03,-0.32,30.040,0.62,-0.09,0.09,30.040,0.63,-0.05,-0.57,30.040,0.62,0.09,0.13,30.040,0.61,-0.03,0.54,30.040,0.63,-0.06,-0.24,30.040,0.63,-0.05,-0.55,30.040,0.61,0.03,0.63,30.040,0.62,-0.09,0.04
30.080,0.64,-0.03,-0.70,30.080,0.63,-0.04,-0.58,30.080,0.62,-0.08,0.00,30.080,0.63,-0.04,-0.46,30.080,0.63,0.08,-0.21,30.080,0.62,0.09,0.26,30.080,0.63,0.09,-0.21,30.080,0.61,-0.05,0.44,30.080,0.62,-0.08,0.10,30.080,0.61,0.05,0.34,30.080,0.63,-0.04,-0.36,30.080,0.61,-0.08,0.33,30.080,0.63,-0.07,-0.41,30.080,0.62,0.09,-0.09,30.080,0.61,0.00,0.56,30.080,0.63,-0.07,-0.11,30.080,0.63,-0.07,-0.45,30.080,0.61,0.05,0.57,30.080,0.62,-0.09,0.19
30.120,0.63,-0.06,-0.50,30.120,0.63,-0.06,-0.48,30.120,0.62,-0.08,0.13,30.120,0.63,-0.06,-0.37,30.120,0.63,0.07,-0.35,30.120,0.62,0.10,0.01,30.120,0.63,0.07,-0.50,30.120,0.61,-0.03,0.52,30.120,0.62,-0.07,0.23,30.120,0.62,0.06,0.27,30.120,0.63,-0.06,-0.37,30.120,0.61,-0.06,0.52,30.120,0.63,-0.08,-0.20,30.120,0.62,0.08,-0.21,30.120,0.61,0.02,0.55,30.120,0.62,-0.07,-0.02,30.120,0.63,-0.08,-0.31,30.120,0.61,0.07,0.45,30.120,0.61,-0.07,0.32
30.160,0.63,-0.07,-0.37,30.160,0.63,-0.08,-0.34,30.160,0.62,-0.07,0.24,30.160,0.63,-0.07,-0.25,30.160,0.63,0.05,-0.43,30.160,0.63,0.09,-0.25,30.160,0.63,0.04,-0.58,30.160,0.61,-0.01,0.55,30.160,0.61,-0.06,0.36,30.160,0.62,0.07,0.20,30.160,0.62,-0.08,-0.21,30.160,0.61,-0.04,0.60,30.160,0.62,-0.09,-0.02,30.160,0.63,0.07,-0.24,30.160,0.61,0.04,0.49,30.160,0.62,-0.07,0.04,30.160,0.62,-0.09,-0.14,30.160,0.61,0.09,0.29,30.160,0.61,-0.06,0.43
