"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19"
0.800,0.62,-0.40,0.19,0.800,0.62,-0.34,0.11,0.800,0.59,-0.12,1.47,0.800,0.62,-0.26,0.27,0.800,0.66,-0.01,-1.47,0.800,0.65,0.17,-1.19,0.800,0.66,-0.03,-1.53,0.800,0.59,0.12,1.32,0.800,0.59,-0.03,1.53,0.800,0.63,0.30,-0.47,0.800,0.61,-0.21,0.63,0.800,0.58,0.06,1.87,0.800,0.60,-0.23,0.78,0.800,0.66,0.14,-1.54,0.800,0.60,0.25,0.66,0.800,0.60,-0.16,1.02,0.800,0.60,-0.30,0.90,0.800,0.63,0.31,-0.45,0.800,0.58,-0.02,1.72
0.840,0.61,-0.38,0.77,0.840,0.60,-0.32,1.04,0.840,0.58,-0.06,1.63,0.840,0.61,-0.24,0.66,0.840,0.65,-0.07,-1.42,0.840,0.65,0.12,-1.43,0.840,0.65,-0.10,-1.39,0.840,0.60,0.17,1.04,0.840,0.59,0.03,1.47,0.840,0.65,0.27,-1.03,0.840,0.60,-0.18,0.96,0.840,0.58,0.13,1.67,0.840,0.60,-0.18,1.19,0.840,0.67,0.08,-1.88,0.840,0.62,0.27,0.22,0.840,0.59,-0.12,1.27,0.840,0.59,-0.25,1.40,0.840,0.64,0.28,-0.97,0.840,0.58,0.04,1.61
0.880,0.59,-0.34,1.36,0.880,0.58,-0.25,1.80,0.880,0.58,0.01,1.66,0.880,0.60,-0.20,1.03,0.880,0.65,-0.13,-1.28,0.880,0.66,0.05,-1.57,0.880,0.65,-0.15,-1.07,0.880,0.61,0.21,0.69,0.880,0.59,0.09,1.37,0.880,0.66,0.22,-1.57,0.880,0.59,-0.13,1.23,0.880,0.59,0.19,1.36,0.880,0.59,-0.13,1.44,0.880,0.67,-0.01,-2.14,0.880,0.63,0.27,-0.23,0.880,0.59,-0.06,1.46,0.880,0.58,-0.18,1.76,0.880,0.65,0.23,-1.42,0.880,0.59,0.11,1.45
0.920,0.58,-0.27,1.86,0.920,0.58,-0.15,1.81,0.920,0.58,0.08,1.57,0.920,0.59,-0.15,1.36,0.920,0.64,-0.18,-1.03,0.920,0.66,-0.01,-1.63,0.920,0.64,-0.18,-0.72,0.920,0.61,0.23,0.30,0.920,0.59,0.14,1.22,0.920,0.67,0.14,-1.94,0.920,0.59,-0.08,1.43,0.920,0.60,0.24,0.96,0.920,0.59,-0.06,1.54,0.920,0.67,-0.11,-2.04,0.920,0.64,0.25,-0.68,0.920,0.59,0.00,1.54,0.920,0.58,-0.10,1.98,0.920,0.66,0.17,-1.78,0.920,0.59,0.16,1.25
0.960,0.57,-0.18,2.26,0.960,0.58,-0.08,1.54,0.960,0.59,0.14,1.36,0.960,0.58,-0.09,1.61,0.960,0.64,-0.21,-0.69,0.960,0.66,-0.08,-1.56,0.960,0.63,-0.20,-0.41,0.960,0.62,0.23,-0.11,0.960,0.60,0.19,0.92,0.960,0.67,0.05,-2.05,0.960,0.59,-0.01,1.53,0.960,0.61,0.27,0.53,0.960,0.59,-5.17E-4,1.56,0.960,0.66,-0.19,-1.60,0.960,0.65,0.21,-1.10,0.960,0.59,0.07,1.49,0.960,0.57,-0.02,2.07,0.960,0.67,0.09,-2.00,0.960,0.60,0.21,0.97
1.000,0.56,-0.09,2.49,1.000,0.57,-0.06,1.63,1.000,0.60,0.19,1.05,1.000,0.58,-0.02,1.70,1.000,0.63,-0.23,-0.29,1.000,0.65,-0.14,-1.34,1.000,0.62,-0.21,-0.10,1.000,0.63,0.22,-0.49,1.000,0.61,0.22,0.48,1.000,0.67,-0.03,-2.00,1.000,0.59,0.05,1.47,1.000,0.62,0.28,0.11,1.000,0.59,0.06,1.53,1.000,0.65,-0.24,-1.08,1.000,0.65,0.16,-1.44,1.000,0.59,0.13,1.29,1.000,0.57,0.07,2.04,1.000,0.67,4.99E-4,-2.07,1.000,0.61,0.24,0.59
1.040,0.56,0.02,2.53,1.040,0.58,0.03,2.11,1.040,0.60,0.23,0.68,1.040,0.58,0.05,1.66,1.040,0.62,-0.24,0.18,1.040,0.65,-0.19,-1.00,1.040,0.62,-0.21,0.27,1.040,0.64,0.19,-0.80,1.040,0.62,0.23,0.03,1.040,0.67,-0.11,-1.88,1.040,0.59,0.11,1.25,1.040,0.63,0.28,-0.33,1.040,0.59,0.12,1.41,1.040,0.64,-0.27,-0.64,1.040,0.66,0.09,-1.65,1.040,0.60,0.17,0.97,1.040,0.58,0.15,1.86,1.040,0.67,-0.08,-1.99,1.040,0.62,0.26,0.14
1.080,0.57,0.12,2.37,1.080,0.57,0.14,2.35,1.080,0.61,0.25,0.26,1.080,0.59,0.11,1.51,1.080,0.61,-0.22,0.67,1.080,0.64,-0.22,-0.61,1.080,0.61,-0.19,0.66,1.080,0.65,0.15,-1.08,1.080,0.63,0.22,-0.29,1.080,0.66,-0.18,-1.64,1.080,0.60,0.15,0.94,1.080,0.64,0.26,-0.82,1.080,0.60,0.18,1.16,1.080,0.63,-0.29,-0.22,1.080,0.66,0.02,-1.73,1.080,0.61,0.20,0.65,1.080,0.59,0.22,1.51,1.080,0.66,-0.16,-1.77,1.080,0.63,0.25,-0.32
1.120,0.57,0.21,2.04,1.120,0.59,0.24,1.64,1.120,0.62,0.25,-0.18,1.120,0.59,0.17,1.25,1.120,0.60,-0.18,1.06,1.120,0.63,-0.24,-0.21,1.120,0.60,-0.16,0.99,1.120,0.65,0.11,-1.35,1.120,0.64,0.20,-0.61,1.120,0.65,-0.24,-1.23,1.120,0.60,0.18,0.64,1.120,0.65,0.21,-1.34,1.120,0.60,0.22,0.77,1.120,0.62,-0.29,0.30,1.120,0.66,-0.05,-1.70,1.120,0.62,0.22,0.35,1.120,0.60,0.28,1.00,1.120,0.65,-0.23,-1.41,1.120,0.64,0.23,-0.75
1.160,0.58,0.29,1.59,1.160,0.60,0.29,0.67,1.160,0.63,0.23,-0.60,1.160,0.60,0.22,0.90,1.160,0.59,-0.13,1.29,1.160,0.62,-0.24,0.22,1.160,0.59,-0.11,1.23,1.160,0.66,0.04,-1.57,1.160,0.65,0.18,-0.98,1.160,0.64,-0.28,-0.71,1.160,0.61,0.20,0.38,1.160,0.66,0.15,-1.73,1.160,0.61,0.24,0.34,1.160,0.60,-0.27,0.83,1.160,0.66,-0.12,-1.56,1.160,0.62,0.23,0.01,1.160,0.61,0.30,0.42,1.160,0.64,-0.28,-0.94,1.160,0.65,0.19,-1.10
